cycle,x,y,species,biomass,seq_num,timestep,species,biomass
8,0,0,model13,0.028111873203,3,88,model13,0.028111873203
8,0,0,model5,0.56432954841,3,88,model5,0.56432954841
8,0,0,model7,0.42177993118,3,88,model7,0.42177993118
9,0,0,model13,0.027837113721,3,89,model13,0.027837113721
9,0,0,model5,0.55868676602,3,89,model5,0.55868676602
9,0,0,model7,0.41757816996,3,89,model7,0.41757816996
10,0,0,model13,0.027565101834,3,90,model13,0.027565101834
10,0,0,model5,0.55310041145,3,90,model5,0.55310041145
10,0,0,model7,0.41341842634,3,90,model7,0.41341842634
11,0,0,model13,0.027295810066,3,91,model13,0.027295810066
11,0,0,model5,0.54756992043,3,91,model5,0.54756992043
11,0,0,model7,0.40930028016,3,91,model7,0.40930028016
12,0,0,model13,0.027029211216,3,92,model13,0.027029211216
12,0,0,model5,0.54209473431,3,92,model5,0.54209473431
12,0,0,model7,0.40522331545,3,92,model7,0.40522331545
13,0,0,model13,0.026765278354,3,93,model13,0.026765278354
13,0,0,model5,0.53667430006,3,93,model5,0.53667430006
13,0,0,model7,0.40118712038,3,93,model7,0.40118712038
14,0,0,model13,0.026503984821,3,94,model13,0.026503984821
14,0,0,model5,0.53130807016,3,94,model5,0.53130807016
14,0,0,model7,0.39719128726,3,94,model7,0.39719128726
15,0,0,model13,0.026245304223,3,95,model13,0.026245304223
15,0,0,model5,0.52599550255,3,95,model5,0.52599550255
15,0,0,model7,0.39323541247,3,95,model7,0.39323541247
16,0,0,model13,0.025989210431,3,96,model13,0.025989210431
16,0,0,model5,0.52074190677,3,96,model5,0.52074190677
16,0,0,model7,0.38931909643,3,96,model7,0.38931909643
17,0,0,model13,0.025735677577,3,97,model13,0.025735677577
17,0,0,model5,0.51553596023,3,97,model5,0.51553596023
17,0,0,model7,0.38544194355,3,97,model7,0.38544194355
18,0,0,model13,0.025484680052,3,98,model13,0.025484680052
18,0,0,model5,0.51038111372,3,98,model5,0.51038111372
18,0,0,model7,0.3816035622,3,98,model7,0.3816035622
19,0,0,model13,0.025236192502,3,99,model13,0.025236192502
19,0,0,model5,0.50527781568,3,99,model5,0.50527781568
19,0,0,model7,0.37780356466,3,99,model7,0.37780356466
20,0,0,model13,0.024990189827,3,100,model13,0.024990189827
20,0,0,model5,0.50022555062,3,100,model5,0.50022555062
20,0,0,model7,0.3740415671,3,100,model7,0.3740415671
21,0,0,model13,0.024746647179,3,101,model13,0.024746647179
21,0,0,model5,0.4952238082,3,101,model5,0.4952238082
21,0,0,model7,0.37031718952,3,101,model7,0.37031718952
22,0,0,model13,0.024505539958,3,102,model13,0.024505539958
22,0,0,model5,0.49027208321,3,102,model5,0.49027208321
22,0,0,model7,0.36663005571,3,102,model7,0.36663005571
23,0,0,model13,0.024266843809,3,103,model13,0.024266843809
23,0,0,model5,0.48536987547,3,103,model5,0.48536987547
23,0,0,model7,0.36297979323,3,103,model7,0.36297979323
24,0,0,model13,0.024030534621,3,104,model13,0.024030534621
24,0,0,model5,0.48052253597,3,104,model5,0.48052253597
24,0,0,model7,0.35936603339,3,104,model7,0.35936603339
25,0,0,model13,0.023796588525,3,105,model13,0.023796588525
25,0,0,model5,0.4757178237,3,105,model5,0.4757178237
25,0,0,model7,0.35578841114,3,105,model7,0.35578841114
26,0,0,model13,0.02356498189,3,106,model13,0.02356498189
26,0,0,model5,0.47096700472,3,106,model5,0.47096700472
26,0,0,model7,0.35224656511,3,106,model7,0.35224656511
27,0,0,model13,0.023335691322,3,107,model13,0.023335691322
27,0,0,model5,0.46626369392,3,107,model5,0.46626369392
27,0,0,model7,0.34874013754,3,107,model7,0.34874013754
28,0,0,model13,0.023108693659,3,108,model13,0.023108693659
28,0,0,model5,0.46160741623,3,108,model5,0.46160741623
28,0,0,model7,0.34526877425,3,108,model7,0.34526877425
29,0,0,model13,0.022883965973,3,109,model13,0.022883965973
29,0,0,model5,0.45699770132,3,109,model5,0.45699770132
29,0,0,model7,0.3418321246,3,109,model7,0.3418321246
30,0,0,model13,0.022661485564,3,110,model13,0.022661485564
30,0,0,model5,0.45243408355,3,110,model5,0.45243408355
30,0,0,model7,0.33842984144,3,110,model7,0.33842984144
31,0,0,model13,0.022441229958,3,111,model13,0.022441229958
31,0,0,model5,0.44791610197,3,111,model5,0.44791610197
31,0,0,model7,0.33506158111,3,111,model7,0.33506158111
32,0,0,model13,0.022223176909,3,112,model13,0.022223176909
32,0,0,model5,0.4434433002,3,112,model5,0.4434433002
32,0,0,model7,0.33172700338,3,112,model7,0.33172700338
33,0,0,model13,0.02200730439,3,113,model13,0.02200730439
33,0,0,model5,0.43901522645,3,113,model5,0.43901522645
33,0,0,model7,0.32842577143,3,113,model7,0.32842577143
34,0,0,model13,0.021793590597,3,114,model13,0.021793590597
34,0,0,model5,0.43463143343,3,114,model5,0.43463143343
34,0,0,model7,0.3251575518,3,114,model7,0.3251575518
35,0,0,model13,0.021582013941,3,115,model13,0.021582013941
35,0,0,model5,0.43029147835,3,115,model5,0.43029147835
35,0,0,model7,0.32192201437,3,115,model7,0.32192201437
36,0,0,model13,0.021372553052,3,116,model13,0.021372553052
36,0,0,model5,0.42599492282,3,116,model5,0.42599492282
36,0,0,model7,0.31871883231,3,116,model7,0.31871883231
37,0,0,model13,0.021165186772,3,117,model13,0.021165186772
37,0,0,model5,0.42174133284,3,117,model5,0.42174133284
37,0,0,model7,0.31554768207,3,117,model7,0.31554768207
38,0,0,model13,0.020959894155,3,118,model13,0.020959894155
38,0,0,model5,0.41753027876,3,118,model5,0.41753027876
38,0,0,model7,0.31240824334,3,118,model7,0.31240824334
39,0,0,model13,0.020756654464,3,119,model13,0.020756654464
39,0,0,model5,0.41335894745,3,119,model5,0.41335894745
39,0,0,model7,0.30930019899,3,119,model7,0.30930019899
40,0,0,model13,0.020555447169,3,120,model13,0.020555447169
40,0,0,model5,0.40922587107,3,120,model5,0.40922587107
40,0,0,model7,0.30622323508,3,120,model7,0.30622323508
0,0,0,model8,0.01,4,120,model8,0.01
0,0,0,model5,0.40922587107,4,120,model5,0.40922587107
0,0,0,model7,0.30622323508,4,120,model7,0.30622323508
0,0,0,model13,0.020555447169,4,120,model13,0.020555447169
1,0,0,model8,0.0099,4,121,model8,0.0099
1,0,0,model5,0.4051383818,4,121,model5,0.4051383818
1,0,0,model7,0.30317303129,4,121,model7,0.30317303129
1,0,0,model13,0.020354662135,4,121,model13,0.020354662135
2,0,0,model8,0.009801,4,122,model8,0.009801
2,0,0,model5,0.40108699798,4,122,model5,0.40108699798
2,0,0,model7,0.30014130098,4,122,model7,0.30014130098
2,0,0,model13,0.020151115514,4,122,model13,0.020151115514
3,0,0,model8,0.00970299,4,123,model8,0.00970299
3,0,0,model5,0.397076128,4,123,model5,0.397076128
3,0,0,model7,0.29713988797,4,123,model7,0.29713988797
3,0,0,model13,0.019949604359,4,123,model13,0.019949604359
4,0,0,model8,0.0096059601,4,124,model8,0.0096059601
4,0,0,model5,0.39310536672,4,124,model5,0.39310536672
4,0,0,model7,0.29416848909,4,124,model7,0.29416848909
4,0,0,model13,0.019750108315,4,124,model13,0.019750108315
5,0,0,model8,0.009509900499,4,125,model8,0.009509900499
5,0,0,model5,0.38917431305,4,125,model5,0.38917431305
5,0,0,model7,0.2912268042,4,125,model7,0.2912268042
5,0,0,model13,0.019552607232,4,125,model13,0.019552607232
6,0,0,model8,0.009414801494,4,126,model8,0.009414801494
6,0,0,model5,0.38528256992,4,126,model5,0.38528256992
6,0,0,model7,0.28831453616,4,126,model7,0.28831453616
6,0,0,model13,0.01935708116,4,126,model13,0.01935708116
7,0,0,model8,0.0093206534791,4,127,model8,0.0093206534791
7,0,0,model5,0.38142974422,4,127,model5,0.38142974422
7,0,0,model7,0.2854313908,4,127,model7,0.2854313908
7,0,0,model13,0.019163510348,4,127,model13,0.019163510348
8,0,0,model8,0.0092274469443,4,128,model8,0.0092274469443
8,0,0,model5,0.37761544678,4,128,model5,0.37761544678
8,0,0,model7,0.28257707689,4,128,model7,0.28257707689
8,0,0,model13,0.018971875244,4,128,model13,0.018971875244
9,0,0,model8,0.0091351724748,4,129,model8,0.0091351724748
9,0,0,model5,0.37383929231,4,129,model5,0.37383929231
9,0,0,model7,0.27975130612,4,129,model7,0.27975130612
9,0,0,model13,0.018782156492,4,129,model13,0.018782156492
10,0,0,model8,0.0090438207501,4,130,model8,0.0090438207501
10,0,0,model5,0.37010089939,4,130,model5,0.37010089939
10,0,0,model7,0.27695379306,4,130,model7,0.27695379306
10,0,0,model13,0.018594334927,4,130,model13,0.018594334927
11,0,0,model8,0.0089533825426,4,131,model8,0.0089533825426
11,0,0,model5,0.3663998904,4,131,model5,0.3663998904
11,0,0,model7,0.27418425513,4,131,model7,0.27418425513
11,0,0,model13,0.018408391578,4,131,model13,0.018408391578
12,0,0,model8,0.0088638487172,4,132,model8,0.0088638487172
12,0,0,model5,0.36273589149,4,132,model5,0.36273589149
12,0,0,model7,0.27144241258,4,132,model7,0.27144241258
12,0,0,model13,0.018224307662,4,132,model13,0.018224307662
13,0,0,model8,0.00877521023,4,133,model8,0.00877521023
13,0,0,model5,0.35910853258,4,133,model5,0.35910853258
13,0,0,model7,0.26872798845,4,133,model7,0.26872798845
13,0,0,model13,0.018042064585,4,133,model13,0.018042064585
14,0,0,model8,0.0086874581277,4,134,model8,0.0086874581277
14,0,0,model5,0.35551744725,4,134,model5,0.35551744725
14,0,0,model7,0.26604070857,4,134,model7,0.26604070857
14,0,0,model13,0.01786164394,4,134,model13,0.01786164394
15,0,0,model8,0.0086005835464,4,135,model8,0.0086005835464
15,0,0,model5,0.35196227278,4,135,model5,0.35196227278
15,0,0,model7,0.26338030148,4,135,model7,0.26338030148
15,0,0,model13,0.0176830275,4,135,model13,0.0176830275
16,0,0,model8,0.0085145777109,4,136,model8,0.0085145777109
16,0,0,model5,0.34844265005,4,136,model5,0.34844265005
16,0,0,model7,0.26074649847,4,136,model7,0.26074649847
16,0,0,model13,0.017506197225,4,136,model13,0.017506197225
17,0,0,model8,0.0084294319338,4,137,model8,0.0084294319338
17,0,0,model5,0.34495822355,4,137,model5,0.34495822355
17,0,0,model7,0.25813903348,4,137,model7,0.25813903348
17,0,0,model13,0.017331135253,4,137,model13,0.017331135253
18,0,0,model8,0.0083451376145,4,138,model8,0.0083451376145
18,0,0,model5,0.34150864131,4,138,model5,0.34150864131
