,model1,model2,phylum1,phylum2,jaccard_distance
3170,40,91,Firmicutes,Firmicutes,0.3608815426997245
1903,22,57,Firmicutes,Firmicutes,0.36114911080711354
4545,72,74,Proteobacteria,Proteobacteria,0.36180422264875245
3259,42,63,Firmicutes,Firmicutes,0.36239193083573484
2522,30,88,Firmicutes,Firmicutes,0.3625468164794008
4210,62,64,Firmicutes,Firmicutes,0.36281736281736277
3694,50,70,Actinobacteria,Actinobacteria,0.3628879037365421
3743,51,70,Actinobacteria,Actinobacteria,0.3631214600377596
3205,41,67,Firmicutes,Firmicutes,0.3634590377113134
2820,35,51,Actinobacteria,Actinobacteria,0.3638036809815951
3203,41,65,Firmicutes,Firmicutes,0.3638132295719845
3204,41,66,Firmicutes,Firmicutes,0.36398963730569944
401,5,17,Actinobacteria,Actinobacteria,0.3640915593705293
293,3,100,Proteobacteria,Proteobacteria,0.3643744030563515
2178,26,30,Firmicutes,Firmicutes,0.3644189383070301
3260,42,64,Firmicutes,Firmicutes,0.36489607390300227
772,9,18,Firmicutes,Firmicutes,0.3651515151515151
3969,56,66,Firmicutes,Firmicutes,0.365485564304462
1560,18,32,Firmicutes,Firmicutes,0.3658346333853354
1572,18,44,Firmicutes,Firmicutes,0.3661971830985915
3723,50,99,Actinobacteria,Firmicutes,0.3662477558348295
2659,32,88,Firmicutes,Firmicutes,0.3663826491092177
4247,63,64,Firmicutes,Firmicutes,0.3663934426229508
4130,60,61,Firmicutes,Firmicutes,0.3665311653116531
1836,21,68,Proteobacteria,Proteobacteria,0.3668671405139421
1931,22,85,Firmicutes,Firmicutes,0.3670133729569094
441,5,57,Actinobacteria,Firmicutes,0.36707152496626183
1842,21,74,Proteobacteria,Proteobacteria,0.3672255273120606
3968,56,65,Firmicutes,Firmicutes,0.36745406824146987
2932,36,99,Actinobacteria,Firmicutes,0.3675324675324675
2478,30,44,Firmicutes,Firmicutes,0.36759189797449365
498,6,20,Proteobacteria,Proteobacteria,0.3677261613691931
3459,45,95,Firmicutes,Firmicutes,0.36787564766839376
424,5,40,Actinobacteria,Firmicutes,0.3679682329583057
