cycle,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20
16,0.11224359206,0.42294532534,0.34409658931,0.0097314406386,0.30215260243,0.14798304426,0.71519643475,0.0097314406386,0.79806486128,0.79409032333,0.0097314406386,0.0097314406386,0.64706786707,0.0097314406386,0.32364086775,0.10702935714,0.32679323898,0.0097314406386,0.46736788061,0.0097314406386
17,0.11368246874,0.42293686707,0.34417466049,0.0097148971895,0.30217056714,0.15102783275,0.71530238811,0.0097148971895,0.79830745642,0.79439539669,0.0097148971895,0.0097148971895,0.64722788701,0.0097148971895,0.32372210197,0.10701357202,0.32687195876,0.0097148971895,0.46735133716,0.0097148971895
18,0.11511889934,0.42292842318,0.34425259895,0.0096983818643,0.30218850132,0.15346339694,0.71540816136,0.0096983818643,0.79854963915,0.79469995143,0.0096983818643,0.0096983818643,0.64738763491,0.0096983818643,0.32380319808,0.10699781374,0.32695054471,0.0096983818643,0.46733482183,0.0096983818643
19,0.116552888,0.42291999364,0.34433040491,0.0096818946151,0.30220640501,0.15350545221,0.71551375478,0.0096818946151,0.79879141018,0.79500398842,0.0096818946151,0.0096818946151,0.64754711125,0.0096818946151,0.32388415633,0.10698208225,0.32702899707,0.0096818946151,0.46731833458,0.0096818946151
20,0.11798443888,0.42291157843,0.34440807861,0.0096654353943,0.30222427826,0.15354743598,0.7156191687,0.0096654353943,0.79903277019,0.79530750855,0.0096654353943,0.0096654353943,0.64770631647,0.0096654353943,0.32396497695,0.10696637751,0.32710731605,0.0096654353943,0.46730187536,0.0096654353943
21,0.11941355612,0.42290317753,0.34448562026,0.0096490041541,0.30224212113,0.15358934837,0.71572440342,0.0096490041541,0.79927371989,0.79561051269,0.0096490041541,0.0096490041541,0.64786525104,0.0096490041541,0.32404566018,0.10695069946,0.3271855019,0.0096490041541,0.46728544412,0.0096490041541
22,0.12084024387,0.42289479091,0.34456006033,0.009632600847,0.30225993366,0.15363118952,0.71582945924,0.009632600847,0.79951425997,0.79591300173,0.009632600847,0.009632600847,0.64802391542,0.009632600847,0.32412574946,0.10693504806,0.32726355483,0.009632600847,0.46726904081,0.009632600847
23,0.12226450624,0.42288641854,0.34462831669,0.0096162254256,0.30227771591,0.15367295953,0.71593433646,0.0096162254256,0.79975439114,0.79621497654,0.0096162254256,0.0096162254256,0.64818231008,0.0096162254256,0.32420555567,0.10691942327,0.32734147507,0.0096162254256,0.46725266539,0.0096162254256
24,0.12368634737,0.42287806041,0.34469645701,0.0095998778424,0.30229546794,0.15371465854,0.71603903539,0.0095998778424,0.79999411408,0.79651643799,0.0095998778424,0.0095998778424,0.64834043546,0.0095998778424,0.32428522621,0.10690382504,0.32741926284,0.0095998778424,0.46723631781,0.0095998778424
25,0.12510577137,0.42286971649,0.3447644815,0.00958355805,0.30231318978,0.15375628666,0.71614355633,0.00958355805,0.8002334295,0.79681738695,0.00958355805,0.00958355805,0.64849829203,0.00958355805,0.32436476131,0.10688825333,0.32749691837,0.00958355805,0.46721999802,0.00958355805
