cycle,model1,model2,model3,model4,model5,model6,model7,model8,model9,model10,model11,model12,model13,model14,model15,model16,model17,model18,model19,model20
31,0.16908328361,0.42168728877,0.35389820507,0.0073230336965,0.30450047989,0.17260897748,0.72884630347,0.0073230336965,0.82195237619,0.83125138935,0.0073230336965,0.0073230336965,0.6769411386,0.0073230336965,0.33245746434,0.10506702938,0.33995295266,0.0073230336965,0.46495947366,0.0073230336965
32,0.16943175797,0.42165011459,0.35420633162,0.0072498033596,0.30458267591,0.17266490557,0.72933305987,0.0072498033596,0.82208705728,0.83126075006,0.0072498033596,0.0072498033596,0.67758369963,0.0072498033596,0.33284359548,0.10499379904,0.34028441303,0.0072498033596,0.46488624333,0.0072498033596
33,0.16977674758,0.42161331215,0.3545113769,0.007177305326,0.30466404997,0.17272027439,0.7298149487,0.007177305326,0.82222039156,0.83127001716,0.007177305326,0.007177305326,0.67821983506,0.007177305326,0.33322586531,0.10492130101,0.34061255879,0.007177305326,0.46481374529,0.007177305326
34,0.1701182873,0.42157687774,0.35481337172,0.0071055322727,0.3047446103,0.17277508951,0.73029201864,0.0071055322727,0.82235239249,0.83127919159,0.0071055322727,0.0071055322727,0.67884960912,0.0071055322727,0.33360431245,0.10484952796,0.34093742309,0.0071055322727,0.46474197224,0.0071055322727
35,0.17045641162,0.42154080767,0.3551123466,0.00703447695,0.30482436502,0.17282935649,0.73076431788,0.00703447695,0.82248307342,0.83128827428,0.00703447695,0.00703447695,0.67947308545,0.00703447695,0.33397897511,0.10477847263,0.34125903876,0.00703447695,0.46467091692,0.00703447695
36,0.17079115469,0.4215050983,0.35540833173,0.0069641321805,0.30490332219,0.17288308079,0.73123189413,0.0069641321805,0.82261244753,0.83129726614,0.0069641321805,0.0069641321805,0.68009032701,0.0069641321805,0.33434989115,0.10470812786,0.34157743826,0.0069641321805,0.46460057215,0.0069641321805
37,0.17112255034,0.42146974602,0.35570135701,0.0068944908587,0.30498148979,0.17293626786,0.73169479461,0.0068944908587,0.82274052791,0.83130616808,0.0068944908587,0.0068944908587,0.68069998588,0.0068944908587,0.33471709802,0.10463848654,0.34189265377,0.0068944908587,0.46453093083,0.0068944908587
38,0.17145063203,0.42143474727,0.35599145203,0.0068255459501,0.30505887572,0.17298892305,0.73215306609,0.0068255459501,0.82286732748,0.831314981,0.0068255459501,0.0068255459501,0.68129753216,0.0068255459501,0.33508063283,0.10456954163,0.34220471713,0.0068255459501,0.46446198592,0.0068255459501
39,0.1717754329,0.42140009851,0.35627864611,0.0067572904906,0.30513548778,0.17304105169,0.73260675486,0.0067572904906,0.82299285906,0.8313237058,0.0067572904906,0.0067572904906,0.68188910299,0.0067572904906,0.33544053229,0.10450128617,0.34251365985,0.0067572904906,0.46439373046,0.0067572904906
40,0.17209698576,0.42136579623,0.35656296824,0.0066897175857,0.30521133373,0.17309265904,0.73305590674,0.0066897175857,0.82311713532,0.83133234334,0.0066897175857,0.0066897175857,0.6824747581,0.0066897175857,0.33579683275,0.10443371327,0.34281951314,0.0066897175857,0.46432615755,0.0066897175857
41,0.1724153231,0.42133183697,0.35684444715,0.0066228204098,0.30528642121,0.17314375032,0.7335005671,0.0066228204098,0.82324016881,0.83132604935,0.0066228204098,0.0066228204098,0.68305455667,0.0066228204098,0.33614957021,0.10436681609,0.34312230791,0.0066228204098,0.46425926038,0.0066228204098
42,0.17273047706,0.42129821731,0.35712311128,0.0065565922057,0.30536075783,0.17319433069,0.73394078085,0.0065565922057,0.82336197197,0.83131672697,0.0065565922057,0.0065565922057,0.68362855725,0.0065565922057,0.3364987803,0.10430058789,0.34342207472,0.0065565922057,0.46419303217,0.0065565922057
43,0.17304247948,0.42126493385,0.35739898876,0.0064910262837,0.30543435107,0.17324440525,0.73437659247,0.0064910262837,0.82348255711,0.83130749782,0.0064910262837,0.0064910262837,0.68419681782,0.0064910262837,0.33684449828,0.10423502197,0.34371884387,0.0064910262837,0.46412746625,0.0064910262837
44,0.17335136188,0.42123198321,0.35767210747,0.0064261160208,0.30550720838,0.17329397907,0.73480804597,0.0064261160208,0.8235977447,0.83129836096,0.0064261160208,0.0064261160208,0.68449810424,0.0064261160208,0.33718675909,0.1041701117,0.34401264532,0.0064261160208,0.46406255599,0.0064261160208
45,0.17365715545,0.42119936209,0.35794249499,0.0063618548606,0.30557933712,0.17334305715,0.73523518494,0.0063618548606,0.82371066806,0.83128931547,0.0063618548606,0.0063618548606,0.68478363793,0.0063618548606,0.33752559728,0.10410585054,0.34430350876,0.0063618548606,0.46399829483,0.0063618548606
46,0.17395989109,0.42116706718,0.35821017863,0.006298236312,0.30565074457,0.17339164445,0.73565805252,0.006298236312,0.82382246218,0.83128036044,0.006298236312,0.006298236312,0.68506631628,0.006298236312,0.3378610471,0.104042232,0.34459146357,0.006298236312,0.46393467628,0.006298236312
47,0.17425959937,0.42113509521,0.35847518544,0.0062352539489,0.30572143795,0.17343974587,0.73607669142,0.0062352539489,0.82393313837,0.83127149495,0.0062352539489,0.0062352539489,0.68534616785,0.0062352539489,0.33819314241,0.10397924963,0.34487653882,0.0062352539489,0.46387169392,0.0062352539489
48,0.17455631057,0.42110344297,0.35873754218,0.0061729014094,0.3057914244,0.17348736628,0.73649114393,0.0061729014094,0.82404270779,0.83126271812,0.0061729014094,0.0061729014094,0.6856232209,0.0061729014094,0.33852191677,0.10391689709,0.34515876333,0.0061729014094,0.46380934138,0.0061729014094
49,0.17485005465,0.42107210724,0.35899727535,0.0061111723953,0.30586071097,0.17353451049,0.73690145192,0.0061111723953,0.82415118151,0.83125402906,0.0061111723953,0.0061111723953,0.68589750343,0.0061111723953,0.33884740339,0.10385516808,0.34543816559,0.0061111723953,0.46374761236,0.0061111723953
50,0.1751408613,0.42104108488,0.35925441119,0.0060500606714,0.30592930469,0.17358118326,0.73730765683,0.0060500606714,0.82425857051,0.83124542689,0.0060500606714,0.0060500606714,0.68616904312,0.0060500606714,0.33916963515,0.10379405635,0.34571477382,0.0060500606714,0.46368650064,0.0060500606714
51,0.17542875988,0.42101037274,0.35950897568,0.0059895600647,0.30599721246,0.17362738929,0.73770979969,0.0059895600647,0.82436488561,0.83123691074,0.0059895600647,0.0059895600647,0.68643786742,0.0059895600647,0.33948864458,0.10373355575,0.34598861598,0.0059895600647,0.46362600003,0.0059895600647
52,0.17571377947,0.42097996772,0.35976099452,0.005929664464,0.30606444116,0.17367313327,0.73810792112,0.005929664464,0.82447013755,0.83122847975,0.005929664464,0.005929664464,0.68670400348,0.005929664464,0.33980446392,0.10367366015,0.34625971971,0.005929664464,0.46356610443,0.005929664464
53,0.17599594887,0.42094986675,0.36001049317,0.0058703678194,0.30613099757,0.17371841981,0.73850206134,0.0058703678194,0.82457433698,0.83122013307,0.0058703678194,0.0058703678194,0.68696747818,0.0058703678194,0.34011712507,0.1036143635,0.34652811241,0.0058703678194,0.46350680779,0.0058703678194
54,0.17627529657,0.42092006679,0.36025749683,0.0058116641412,0.30619688842,0.17376325348,0.73889226015,0.0058116641412,0.82467749442,0.83121186986,0.0058116641412,0.0058116641412,0.68722831813,0.0058116641412,0.34042665961,0.10355565982,0.34679382118,0.0058116641412,0.46344810411,0.0058116641412
55,0.1765518508,0.42089056483,0.36050203046,0.0057535474998,0.30626212036,0.17380763882,0.73927855698,0.0057535474998,0.82477962028,0.83120368928,0.0057535474998,0.0057535474998,0.68748654968,0.0057535474998,0.3407330988,0.10349754318,0.34705687286,0.0057535474998,0.46338998747,0.0057535474998
56,0.17682563949,0.42086135789,0.36074411875,0.0056960120248,0.30632669998,0.1738515803,0.73966099083,0.0056960120248,0.82488072488,0.83119559051,0.0056960120248,0.0056960120248,0.68774219892,0.0056960120248,0.3410364736,0.10344000771,0.34731729402,0.0056960120248,0.46333245199,0.0056960120248
57,0.17709669028,0.42083244302,0.36098378615,0.0056390519045,0.3063906338,0.17389508236,0.74003960035,0.0056390519045,0.82498081844,0.83118757272,0.0056390519045,0.0056390519045,0.68799529166,0.0056390519045,0.34133681465,0.10338304759,0.34757511098,0.0056390519045,0.46327549187,0.0056390519045
58,0.17736503057,0.42080381729,0.36122105689,0.0055826613855,0.30645392829,0.17393814941,0.74041442378,0.0055826613855,0.82507991106,0.83117963511,0.0055826613855,0.0055826613855,0.68824585347,0.0055826613855,0.34163415229,0.10332665707,0.34783034976,0.0055826613855,0.46321910135,0.0055826613855
59,0.17763068746,0.42077547783,0.36145595491,0.0055268347716,0.30651658983,0.17398078579,0.74078549897,0.0055268347716,0.82517801276,0.83117177688,0.0055268347716,0.0055268347716,0.68849388927,0.0055268347716,0.34192851655,0.10327083045,0.34808303616,0.0055268347716,0.46316327474,0.0055268347716
60,0.17789368778,0.42074742176,0.36168850396,0.0054715664239,0.30657862475,0.1740229958,0.7411528634,0.0054715664239,0.82527513343,0.83116399723,0.0054715664239,0.0054715664239,0.68873323265,0.0054715664239,0.34221993718,0.10321556211,0.34833319569,0.0054715664239,0.46310800639,0.0054715664239
61,0.17815405809,0.42071964625,0.36191872751,0.0054168507597,0.30664003933,0.17406478371,0.7415165542,0.0054168507597,0.82537128291,0.83115629538,0.0054168507597,0.0054168507597,0.6889701826,0.0054168507597,0.34250844359,0.10316084644,0.34858085362,0.0054168507597,0.46305329073,0.0054168507597
62,0.1784118247,0.42069214849,0.36214664883,0.0053626822521,0.30670083976,0.17410615374,0.74187660808,0.0053626822521,0.82546647088,0.83114867054,0.0053626822521,0.0053626822521,0.68920476305,0.0053626822521,0.34279406494,0.10310667794,0.34882603498,0.0053626822521,0.46299912222,0.0053626822521
63,0.17866701365,0.42066492571,0.36237229094,0.0053090554296,0.30676103218,0.17414711008,0.74223306143,0.0053090554296,0.82556070698,0.83114112196,0.0053090554296,0.0053090554296,0.6894369977,0.0053090554296,0.34307683008,0.10305305111,0.34906876452,0.0053090554296,0.4629454954,0.0053090554296
64,0.1789196507,0.42063797516,0.36259567663,0.0052559648753,0.30682062269,0.17418765685,0.74258595024,0.0052559648753,0.82565400071,0.83113364886,0.0052559648753,0.0052559648753,0.68966691,0.0052559648753,0.34335676757,0.10299996056,0.34930906677,0.0052559648753,0.46289240484,0.0052559648753
65,0.17916976139,0.42061129412,0.36281682845,0.0052034052265,0.30687961728,0.17422779815,0.74293531017,0.0052034052265,0.82574636151,0.83112625049,0.0052034052265,0.0052034052265,0.68989452318,0.0052034052265,0.34363390568,0.10294740091,0.349546966,0.0052034052265,0.46283984519,0.0052034052265
66,0.17941737097,0.42058487988,0.36303576876,0.0051513711742,0.30693802193,0.17426753804,0.74328117649,0.0051513711742,0.8258377987,0.8311189261,0.0051513711742,0.0051513711742,0.69011986022,0.0051513711742,0.34390827241,0.10289536686,0.34978248623,0.0051513711742,0.46278781114,0.0051513711742
67,0.17966250445,0.42055872979,0.36325251967,0.0050998574625,0.30699584254,0.17430688053,0.74362358415,0.0050998574625,0.82592832152,0.83111167496,0.0050998574625,0.0050998574625,0.6903429439,0.0050998574625,0.34417989547,0.10284385315,0.35001565126,0.0050998574625,0.46273629743,0.0050998574625
68,0.1799051866,0.4205328412,0.36346710307,0.0050488588879,0.30705308493,0.17434582959,0.74396256774,0.0050488588879,0.82601793911,0.83110449633,0.0050488588879,0.0050488588879,0.69056379673,0.0050488588879,0.3444488023,0.10279285457,0.35024648464,0.0050488588879,0.46268529885,0.0050488588879
69,0.18014544192,0.4205072115,0.36367954063,0.004998370299,0.30710975491,0.17438438917,0.74429816149,0.004998370299,0.82610666053,0.83109738948,0.004998370299,0.004998370299,0.69078244104,0.004998370299,0.34471502007,0.10274236598,0.35047500969,0.004998370299,0.46263481027,0.004998370299
70,0.1803832947,0.42048183809,0.36388985382,0.004948386596,0.30716585818,0.17442256314,0.7446303993,0.004948386596,0.82619449473,0.83109035371,0.004948386596,0.004948386596,0.69099889891,0.004948386596,0.34497857565,0.10269238228,0.35070124948,0.004948386596,0.46258482656,0.004948386596
71,0.18061876894,0.42045671842,0.36409806388,0.00489890273,0.30722140042,0.17446035538,0.74495931474,0.00489890273,0.82628145058,0.83108338829,0.00489890273,0.00489890273,0.6912131922,0.00489890273,0.34523949568,0.10264289841,0.35092522688,0.00489890273,0.4625353427,0.00489890273
72,0.18085188844,0.42043184994,0.36430419184,0.0048499137027,0.30727638724,0.1744977697,0.74528494102,0.0048499137027,0.82636753688,0.83107649253,0.0048499137027,0.0048499137027,0.69141693506,0.0048499137027,0.34549780651,0.10259390939,0.35114696451,0.0048499137027,0.46248635367,0.0048499137027
73,0.18108267675,0.42040723015,0.36450825851,0.0048014145657,0.30733082419,0.17453480987,0.74560731103,0.0048014145657,0.82645276232,0.83106966572,0.0048014145657,0.0048014145657,0.69158506199,0.0048014145657,0.34575353424,0.10254541025,0.35136648475,0.0048014145657,0.46243785453,0.0048014145657
74,0.18131115718,0.42038285655,0.36471028452,0.0047534004201,0.30738471677,0.17457147964,0.74592645735,0.0047534004201,0.8265371355,0.83106290718,0.0047534004201,0.0047534004201,0.69175150764,0.0047534004201,0.34600670468,0.1024973961,0.3515838098,0.0047534004201,0.46238984039,0.0047534004201
75,0.1815373528,0.4203587267,0.36491029027,0.0047058664159,0.30743807043,0.17460778272,0.7462424122,0.0047058664159,0.82662066495,0.83105621623,0.0047058664159,0.0047058664159,0.69191628884,0.0047058664159,0.34625734342,0.1024498621,0.3517989616,0.0047058664159,0.46234230638,0.0047058664159
76,0.18176128646,0.42033483814,0.36510829596,0.0046588077517,0.30749089055,0.17464372276,0.74655520751,0.0046588077517,0.82670335911,0.83104959219,0.0046588077517,0.0046588077517,0.69207942223,0.0046588077517,0.34650547577,0.10240280343,0.35201196187,0.0046588077517,0.46229524772,0.0046588077517
77,0.18198298079,0.42031118846,0.3653043216,0.0046122196742,0.30754318247,0.1746793034,0.74686487486,0.0046122196742,0.82678522632,0.83104303438,0.0046122196742,0.0046122196742,0.69224092429,0.0046122196742,0.3467511268,0.10235621536,0.35222283215,0.0046122196742,0.46224865964,0.0046122196742
78,0.18220245817,0.42028777528,0.36549838698,0.0045660974774,0.30759495147,0.17471452824,0.74717144554,0.0045660974774,0.82686627487,0.83103654216,0.0045660974774,0.0045660974774,0.69240081132,0.0045660974774,0.34699432132,0.10231009316,0.35243159372,0.0045660974774,0.46220253744,0.0045660974774
79,0.18241974078,0.42026459624,0.3656905117,0.0045204365027,0.30764620277,0.17474940083,0.74747495051,0.0045204365027,0.82694651292,0.83103011486,0.0045204365027,0.0045204365027,0.69255909949,0.0045204365027,0.3472350839,0.10226443219,0.35263826767,0.0045204365027,0.46215687647,0.0045204365027
80,0.18263485057,0.42024164898,0.36588071518,0.0044752321376,0.30769694157,0.17478392469,0.74777542043,0.0044752321376,0.8270259486,0.83102375183,0.0044752321376,0.0044752321376,0.69271580477,0.0044752321376,0.34747343885,0.10221922782,0.35284287489,0.0044752321376,0.4621116721,0.0044752321376
81,0.18284780925,0.4202189312,0.36606901662,0.0044304798163,0.30774717298,0.17481810331,0.74807288566,0.0044304798163,0.82710458992,0.83101745243,0.0044304798163,0.0044304798163,0.692870943,0.0044304798163,0.34770941024,0.1021744755,0.35304543604,0.0044304798163,0.46206691978,0.0044304798163
82,0.18305863835,0.4201964406,0.36625543505,0.0043861750181,0.30779690207,0.17485194015,0.74836737623,0.0043861750181,0.82718244483,0.83101121602,0.0043861750181,0.0043861750181,0.69302452985,0.0043861750181,0.34794302193,0.1021301707,0.35324597157,0.0043861750181,0.46202261498,0.0043861750181
83,0.18326735916,0.4201741749,0.3664399893,0.0043423132679,0.30784613387,0.17488543862,0.74865892189,0.0043423132679,0.82725952118,0.83100504198,0.0043423132679,0.0043423132679,0.69317658083,0.0043423132679,0.3481742975,0.10208630895,0.35344450175,0.0043423132679,0.46197875323,0.0043423132679
84,0.18347399276,0.42015213186,0.366622698,0.0042988901352,0.30789487336,0.1749186021,0.7489475521,0.0042988901352,0.82733582678,0.83099892968,0.0042988901352,0.0042988901352,0.6933271113,0.0042988901352,0.34840326031,0.10204288582,0.35364104662,0.0042988901352,0.4619353301,0.0042988901352
85,0.18367856003,0.42013030925,0.36680357961,0.0042559012339,0.30794312545,0.17495143395,0.74923329601,0.0042559012339,0.82741136931,0.8309928785,0.0042559012339,0.0042559012339,0.69347613646,0.0042559012339,0.34862993349,0.10199989692,0.35383562605,0.0042559012339,0.4618923412,0.0042559012339
86,0.18388108162,0.42010870486,0.36698265241,0.0042133422215,0.30799089502,0.17498393748,0.74951618247,0.0042133422215,0.82748615643,0.83098688784,0.0042133422215,0.0042133422215,0.69362367138,0.0042133422215,0.34885433994,0.1019573379,0.35402825968,0.0042133422215,0.46184978219,0.0042133422215
87,0.184081578,0.42008731652,0.36715993448,0.0041712087993,0.30803818689,0.17501611598,0.74979624008,0.0041712087993,0.82756019567,0.83098095708,0.0041712087993,0.0041712087993,0.69376973094,0.0041712087993,0.34907650233,0.10191520448,0.35421896698,0.0041712087993,0.46180764877,0.0041712087993
88,0.18428006941,0.42006614206,0.36733544373,0.0041294967113,0.30808500584,0.17504797269,0.7500734971,0.0041294967113,0.82763349452,0.83097508563,0.0041294967113,0.0041294967113,0.69391432991,0.0041294967113,0.3492964431,0.10187349239,0.3544077672,0.0041294967113,0.46176593668,0.0041294967113
89,0.18447657591,0.42004517935,0.36750919789,0.0040882017442,0.30813135661,0.17507951083,0.75034798156,0.0040882017442,0.82770606038,0.83096927289,0.0040882017442,0.0040882017442,0.69405748289,0.0040882017442,0.34951418445,0.10183219743,0.35459467942,0.0040882017442,0.46172464171,0.0040882017442
90,0.18467111734,0.42002442626,0.36768121451,0.0040473197268,0.30817724386,0.17511073359,0.75060845228,0.0040473197268,0.82777790058,0.83096351828,0.0040473197268,0.0040473197268,0.69419920434,0.0040473197268,0.34972974839,0.10179131541,0.35477972252,0.0040473197268,0.46168375969,0.0040473197268
91,0.18486371336,0.42000388071,0.36785151096,0.0040068465295,0.30822267225,0.17514164412,0.75084881359,0.0040068465295,0.82784902238,0.83095782122,0.0040068465295,0.0040068465295,0.69433950857,0.0040068465295,0.3499431567,0.10175084221,0.35496291519,0.0040068465295,0.4616432865,0.0040068465295
92,0.18505438342,0.41998354061,0.36802010444,0.0039667780642,0.30826764635,0.17517224555,0.75108677128,0.0039667780642,0.82791943296,0.83095218112,0.0039667780642,0.0039667780642,0.69447840976,0.0039667780642,0.35015443092,0.10171077375,0.35514427593,0.0039667780642,0.46160321803,0.0039667780642
93,0.18524314678,0.41996340391,0.36818701199,0.0039271102836,0.30831217071,0.17520254097,0.7513223494,0.0039271102836,0.82798913944,0.83094659743,0.0039271102836,0.0039271102836,0.69461592194,0.0039271102836,0.3503635924,0.10167110597,0.35532382306,0.0039271102836,0.46156355025,0.0039271102836
